Timestamp,Open,High,Low,Close,Volume,Body,UpperWick,LowerWick,CandleRange,LongLowerRejection,CloseNearHigh,SmallUpperWick,BearishTrend,AvgVolume20,HighVolume,Recent20Low,AtDemandZone,InstitutionalHammer
2025-07-09 13:50:00,83712.29,83724.46,83684.13,83720.86,245335,8.570000000006985,3.6000000000058208,28.15999999998894,40.330000000001746,True,True,True,True,92311.85,True,83639.15,True,True
2025-07-28 15:15:00,80885.25,80904.14,80856.1,80894.72,425101,9.470000000001164,9.419999999998254,29.14999999999418,48.0399999999936,True,True,True,True,183300.65,True,80776.44,True,True
2025-08-12 09:15:00,80508.51,80563.48,80398.23,80551.57,299339,43.060000000012224,11.90999999998894,110.27999999999884,165.25,True,True,True,True,129554.75,True,80276.69,True,True
2025-08-20 14:30:00,81914.24,81915.58,81854.7,81908.28,115404,5.960000000006403,1.3399999999965075,53.580000000001746,60.88000000000466,True,True,True,True,56895.3,True,81807.31,True,True
2025-09-08 15:10:00,80792.14,80800.03,80733.07,80796.31,127882,4.169999999998254,3.720000000001164,59.06999999999243,66.95999999999185,True,True,True,True,78578.2,True,80733.07,True,True
2025-09-11 14:35:00,81542.28,81588.23,81471.02,81567.87,215402,25.589999999996508,20.360000000000582,71.25999999999476,117.20999999999185,True,True,True,True,89997.0,True,81469.72,True,True
2025-09-30 14:50:00,80324.69,80350.48,80285.2,80337.65,120048,12.959999999991851,12.830000000001746,39.49000000000524,65.27999999999884,True,True,True,True,56705.65,True,80214.8,True,True
2025-11-06 15:10:00,83327.12,83327.12,83237.65,83313.86,1475047,13.259999999994761,0.0,76.2100000000064,89.47000000000116,True,True,True,True,291520.7,True,83237.65,True,True
2025-11-25 11:05:00,84797.08,84798.52,84768.59,84793.32,255612,3.7599999999947613,1.4400000000023283,24.730000000010477,29.930000000007567,True,True,True,True,70501.1,True,84765.1,True,True
2025-12-19 15:00:00,84912.48,84916.94,84858.55,84916.34,262275,3.860000000000582,0.6000000000058208,53.929999999993015,58.38999999999942,True,True,True,True,70488.9,True,84858.55,True,True
2025-12-30 15:00:00,84664.35,84671.47,84583.83,84668.97,239652,4.619999999995343,2.5,80.52000000000407,87.63999999999942,True,True,True,True,97583.6,True,84531.42,True,True
2026-01-02 09:15:00,85259.36,85327.44,85068.88,85317.67,2238520,58.30999999999767,9.770000000004075,190.47999999999593,258.5599999999977,True,True,True,True,462707.95,True,85068.88,True,True
2026-02-01 12:30:00,81007.54,81008.51,79899.42,80798.44,1114350,209.09999999999127,0.9700000000011642,899.0200000000041,1109.0899999999965,True,True,True,True,357676.1,True,79899.42,True,True
2026-03-10 12:15:00,77983.99,78013.14,77903.61,78003.87,220375,19.879999999990105,9.270000000004075,80.38000000000466,109.52999999999884,True,True,True,True,126306.75,True,77903.61,True,True
2026-03-27 14:10:00,73871.29,73893.66,73792.52,73889.32,533636,18.030000000013388,4.3399999999965075,78.76999999998952,101.13999999999942,True,True,True,True,258369.9,True,73792.52,True,True
2026-05-08 14:00:00,77194.97,77223.13,77146.43,77210.66,222597,15.690000000002328,12.470000000001164,48.54000000000815,76.70000000001164,True,True,True,True,126927.3,True,77146.43,True,True
2026-05-15 13:40:00,75565.05,75568.2,75534.61,75560.26,206810,4.790000000008149,3.1499999999941792,25.64999999999418,33.58999999999651,True,True,True,True,118280.85,True,75474.25,True,True
2026-05-21 12:40:00,75117.22,75157.85,75031.94,75140.69,358687,23.470000000001164,17.160000000003492,85.27999999999884,125.91000000000349,True,True,True,True,185999.7,True,75031.94,True,True
2026-05-21 12:40:00,75117.22,75157.85,75031.94,75140.69,358687,23.470000000001164,17.160000000003492,85.27999999999884,125.91000000000349,True,True,True,True,185999.7,True,75031.94,True,True
