timestamp,open,high,low,close,volume
1777866300,24063.55,24245.85,24061.85,24177.05,35124805
1777866600,24178.9,24214.7,24164.1,24179.65,13296881
1777866900,24179.65,24220.4,24179.65,24214.55,8096527
1777867200,24215.6,24235.0,24181.05,24229.5,8346159
1777867500,24229.2,24269.45,24229.2,24261.0,7638493
1777867800,24262.05,24290.2,24259.95,24276.65,8265548
1777868100,24279.25,24283.8,24265.95,24269.35,5981464
1777868400,24270.15,24272.6,24225.25,24232.15,6724509
1777868700,24234.15,24248.1,24229.55,24246.2,4876175
1777869000,24247.25,24259.75,24215.05,24223.95,5455822
1777869300,24224.0,24246.25,24221.9,24223.6,6554205
1777869600,24224.55,24230.05,24172.45,24175.2,5564559
1777869900,24175.3,24190.4,24164.65,24174.7,4714987
1777870200,24172.6,24180.85,24142.8,24151.4,5053497
1777870500,24153.9,24196.85,24150.2,24196.65,3951370
1777870800,24197.5,24223.35,24172.2,24186.7,4903150
1777871100,24186.8,24217.35,24184.2,24213.5,3646802
1777871400,24213.65,24222.2,24206.65,24219.15,3434863
1777871700,24219.3,24240.65,24213.45,24232.35,3557271
1777872000,24231.9,24237.1,24215.45,24220.3,3139339
1777872300,24220.05,24221.65,24186.2,24187.25,3474545
1777872600,24188.3,24205.9,24175.65,24202.65,4115756
1777872900,24203.2,24216.1,24194.35,24206.55,3707337
1777873200,24207.05,24227.8,24204.65,24227.25,4543359
1777873500,24227.5,24242.25,24226.45,24229.85,16084266
1777873800,24230.2,24238.6,24224.8,24233.2,4979934
1777874100,24233.4,24239.05,24224.1,24237.4,4623747
1777874400,24237.3,24241.2,24225.05,24231.0,4752687
1777874700,24232.4,24242.8,24218.55,24237.7,4827792
1777875000,24237.95,24238.4,24221.75,24228.45,4827315
1777875300,24229.0,24249.15,24229.0,24239.25,3920127
1777875600,24239.35,24244.05,24220.65,24223.3,4431198
1777875900,24224.9,24227.45,24212.9,24221.05,3888517
1777876200,24222.5,24229.9,24210.3,24213.15,3753510
1777876500,24212.45,24219.45,24190.85,24199.6,4065659
1777876800,24200.0,24200.95,24115.8,24117.0,6808480
1777877100,24117.35,24144.7,24106.5,24144.1,5001118
1777877400,24144.1,24154.1,24121.8,24135.75,3929177
1777877700,24136.1,24145.65,24127.2,24132.8,4587631
1777878000,24132.65,24134.65,24106.95,24107.95,3654394
1777878300,24107.95,24127.15,24106.05,24125.4,3819352
1777878600,24126.15,24133.55,24098.55,24100.55,4709638
1777878900,24100.95,24119.05,24083.6,24092.85,4374613
1777879200,24092.85,24118.65,24092.0,24108.25,3754385
1777879500,24108.7,24118.85,24101.55,24103.8,4918053
1777879800,24104.2,24106.35,24090.55,24101.75,3005666
1777880100,24101.55,24114.4,24096.85,24113.9,3106061
1777880400,24113.8,24121.35,24107.15,24109.1,2946367
1777880700,24109.05,24111.75,24079.45,24101.45,3431421
1777881000,24100.85,24102.6,24058.8,24070.75,4637212
1777881300,24072.15,24085.85,24024.7,24025.25,4097483
1777881600,24023.35,24038.75,24004.75,24019.8,4516384
1777881900,24019.0,24039.7,24007.55,24039.15,4442346
1777882200,24038.65,24090.65,24038.65,24086.8,3567487
1777882500,24087.0,24099.4,24080.4,24094.95,2944268
1777882800,24095.0,24108.9,24081.45,24086.0,2984973
1777883100,24086.45,24089.85,24050.4,24072.25,3377605
1777883400,24074.8,24080.3,24053.8,24068.85,3228551
1777883700,24069.15,24077.5,24060.05,24073.45,2751471
1777884000,24075.1,24111.6,24075.1,24103.75,4478134
1777884300,24105.0,24147.95,24102.7,24139.0,4831584
1777884600,24138.75,24149.7,24121.05,24126.55,3236810
1777884900,24126.0,24134.35,24113.25,24122.7,3361370
1777885200,24123.75,24131.95,24103.8,24112.15,4493447
1777885500,24110.9,24119.4,24101.65,24111.6,3963718
1777885800,24111.3,24113.6,24072.15,24096.0,5116250
1777886100,24096.15,24097.8,24072.15,24077.7,4320843
1777886400,24078.35,24099.55,24071.0,24096.7,4955266
1777886700,24098.05,24111.5,24078.4,24089.25,4164569
1777887000,24091.0,24106.35,24074.95,24098.0,7209196
1777887300,24100.6,24124.2,24096.25,24117.25,6213579
1777887600,24118.8,24135.05,24108.35,24123.25,8466852
1777887900,24125.05,24135.45,24115.0,24125.45,10208014
1777888200,24127.45,24134.6,24110.7,24111.7,12827974
1777888500,24116.85,24128.7,24110.2,24123.8,11110456
1777952700,24052.6,24072.1,23949.4,24064.2,13442615
1777953000,24062.05,24067.8,24024.15,24026.55,7018708
1777953300,24027.9,24031.6,23977.65,23992.05,5919801
1777953600,23990.6,24043.6,23988.1,24042.75,4167749
1777953900,24042.05,24060.55,24020.6,24022.15,4117213
1777954200,24022.0,24027.8,24000.9,24013.75,4680834
1777954500,24013.55,24041.55,24005.85,24036.05,4665468
1777954800,24036.55,24055.45,24023.75,24047.9,4292939
1777955100,24047.2,24054.85,24032.3,24043.05,4394771
1777955400,24042.55,24053.9,24001.75,24012.45,3990347
1777955700,24011.45,24015.0,23987.15,23994.6,3430380
1777956000,23997.05,24002.95,23978.5,23986.0,3922848
1777956300,23986.1,23987.25,23970.1,23986.95,4305440
1777956600,23987.3,23994.45,23967.15,23979.05,3169088
1777956900,23978.5,23980.3,23944.65,23954.4,3925332
1777957200,23952.2,23966.8,23938.1,23941.35,3746473
1777957500,23941.4,23947.45,23922.9,23941.35,3571231
1777957800,23941.2,23947.25,23932.0,23937.95,3586917
1777958100,23937.25,23950.3,23935.5,23947.0,4032100
1777958400,23946.0,23949.75,23920.1,23928.7,3053999
1777958700,23929.7,23930.8,23914.35,23925.95,3201611
1777959000,23925.15,23952.75,23913.55,23951.9,6907336
1777959300,23949.2,23950.85,23921.45,23926.8,5842954
1777959600,23927.45,23949.55,23926.15,23939.0,4624614
1777959900,23937.8,23961.55,23934.2,23935.05,3542086
1777960200,23934.25,23938.6,23924.35,23931.95,3563974
1777960500,23932.0,23940.15,23929.45,23935.15,3206360
1777960800,23935.3,23958.95,23933.75,23950.85,3329377
1777961100,23950.25,23966.75,23938.45,23939.95,4232439
1777961400,23940.25,23941.0,23916.05,23916.05,4244075
1777961700,23915.4,23919.2,23891.15,23904.4,3361215
1777962000,23902.7,23916.6,23886.2,23891.6,3322035
1777962300,23890.45,23899.25,23882.05,23888.95,2657335
1777962600,23888.15,23905.55,23888.15,23899.55,3954872
1777962900,23899.55,23926.25,23899.45,23919.6,4144141
1777963200,23919.0,23949.3,23919.0,23946.45,3152981
1777963500,23945.95,23956.5,23943.6,23954.75,2899706
1777963800,23954.6,23977.95,23950.15,23967.25,3284670
