Timestamp,Open,High,Low,Close,Volume
2019-05-28 12:40:00,39765.6,39785.0,39576.3,39582.6,0
2019-05-28 12:45:00,39582.6,39582.9,39542.2,39561.7,0
2019-05-28 12:50:00,39560.8,39593.3,39559.4,39589.2,0
2019-05-28 12:55:00,39589.2,39620.6,39562.8,39620.6,0
2019-05-28 13:00:00,39621.0,39624.3,39604.5,39609.6,0
2019-05-28 13:05:00,39610.4,39652.6,39610.2,39640.0,0
2019-05-28 13:10:00,39639.7,39670.7,39629.5,39632.3,0
2019-05-28 13:15:00,39632.1,39652.1,39615.4,39651.5,0
2019-05-28 13:20:00,39650.4,39673.6,39643.8,39662.4,0
2019-05-28 13:25:00,39660.2,39681.0,39652.2,39680.6,0
2019-05-28 13:30:00,39680.7,39681.2,39633.4,39655.5,0
2019-05-28 13:35:00,39652.9,39652.9,39608.1,39633.7,0
2019-05-28 13:40:00,39635.1,39643.4,39599.3,39599.3,0
2019-05-28 13:45:00,39589.4,39611.5,39579.2,39589.2,0
2019-05-28 13:50:00,39601.6,39612.2,39582.8,39606.6,0
2019-05-28 13:55:00,39605.9,39631.6,39601.3,39631.6,0
2019-05-28 15:10:00,39756.9,39800.8,39498.6,39743.9,0
2019-05-28 15:15:00,39745.8,39750.7,39703.8,39732.8,0
2019-05-28 15:20:00,39735.0,39813.4,39728.6,39799.7,0
2019-05-28 15:25:00,39802.7,39828.6,39774.3,39802.9,0
2019-05-29 10:40:00,39714.3,39750.0,39625.3,39707.1,0
2019-05-29 10:45:00,39707.5,39709.5,39685.9,39701.2,0
2019-05-29 10:50:00,39700.7,39713.5,39697.1,39700.1,0
2019-05-29 10:55:00,39700.3,39706.8,39689.7,39696.5,0
2019-05-29 11:00:00,39698.1,39701.1,39683.8,39690.0,0
2019-05-29 11:05:00,39690.9,39742.2,39690.4,39723.4,0
2019-05-29 11:10:00,39727.6,39749.3,39719.9,39738.9,0
2019-05-29 11:15:00,39737.0,39767.9,39731.3,39760.3,0
2019-05-29 11:20:00,39760.5,39760.5,39718.0,39718.2,0
2019-05-29 11:25:00,39717.5,39721.7,39702.3,39705.9,0
2019-05-29 11:30:00,39706.0,39722.3,39704.2,39721.4,0
2019-05-29 11:35:00,39721.2,39745.7,39716.0,39735.1,0
2019-05-29 11:40:00,39734.9,39735.0,39715.1,39727.2,0
2019-05-29 11:45:00,39726.7,39730.5,39684.6,39689.4,0
2019-05-29 11:50:00,39687.6,39688.4,39662.1,39681.8,0
2019-05-29 11:55:00,39686.3,39690.4,39662.9,39664.8,0
2019-05-29 12:00:00,39664.3,39678.5,39661.2,39670.2,0
2019-05-29 12:05:00,39669.0,39687.5,39664.5,39687.1,0
2019-05-29 12:10:00,39684.4,39694.1,39668.6,39670.1,0
2019-05-29 12:15:00,39669.6,39676.6,39657.2,39665.1,0
2019-05-29 12:20:00,39663.0,39667.6,39627.2,39642.5,0
2019-05-29 12:25:00,39642.0,39654.1,39642.0,39644.8,0
2019-05-29 12:30:00,39644.8,39667.6,39644.8,39667.2,0
2019-05-29 12:35:00,39662.8,39665.9,39645.7,39646.4,0
2019-05-29 12:40:00,39647.9,39655.9,39613.1,39618.6,0
2019-05-29 12:45:00,39616.5,39621.4,39586.6,39591.4,0
2019-05-29 12:50:00,39588.6,39615.9,39583.4,39610.0,0
2019-05-29 12:55:00,39609.5,39609.5,39568.9,39589.2,0
2019-05-29 13:00:00,39591.5,39623.8,39591.0,39613.2,0
2019-05-29 13:05:00,39613.2,39615.9,39599.0,39607.5,0
2019-05-29 13:10:00,39606.9,39610.0,39574.0,39575.4,0
2019-05-29 13:15:00,39575.3,39591.9,39566.8,39573.3,0
2019-05-29 13:20:00,39576.5,39584.9,39549.2,39562.3,0
2019-05-29 13:25:00,39562.0,39589.4,39559.8,39585.8,0
2019-05-29 13:30:00,39585.5,39619.9,39574.6,39619.9,0
2019-05-29 13:35:00,39619.9,39630.9,39603.7,39618.4,0
2019-05-29 13:40:00,39618.1,39624.9,39593.0,39594.8,0
2019-05-29 13:45:00,39595.9,39613.2,39585.4,39605.0,0
2019-05-29 13:50:00,39603.3,39606.1,39582.0,39606.1,0
2019-05-29 13:55:00,39605.8,39606.1,39588.5,39600.6,0
2019-05-29 14:00:00,39600.3,39622.0,39599.1,39606.6,0
2019-05-29 14:05:00,39607.8,39616.5,39593.9,39601.8,0
2019-05-29 14:10:00,39604.4,39625.3,39601.2,39619.9,0
2019-05-29 14:15:00,39620.2,39635.3,39604.2,39605.0,0
2019-05-29 14:20:00,39604.7,39607.4,39529.8,39538.1,0
2019-05-29 14:25:00,39538.3,39566.7,39532.9,39553.5,0
2019-05-29 14:30:00,39555.2,39573.7,39547.9,39564.9,0
